group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
PopCulture&LicensedToys,Anime Supercar,230924-230925,YS1492525,1492525,2018-002K,Anime Supercar (12pcs whole box price),Anime Supercar (12pcs whole box price),Display Box,24,0,72.0,28.0,71.0,35.0,5.5,24.5,0.143,5.05,21.5,18.5,USD $110.10,110.1,110.1,110.1,,21.8,1034,24,0,"1492525, 2018-002K, Display Box",PopCulture&LicensedToys/Anime Supercar/230924-230925/Anime Supercar (12pcs whole box price)/image/Anime Supercar (12pcs whole box price).jpg,PopCulture&LicensedToys/Anime Supercar/230924-230925/Anime Supercar (12pcs whole box price)/Anime Supercar (12pcs whole box price).md,1492525-2018-002K-230924-230925-1034,2018-002K,
PopCulture&LicensedToys,Anime Supercar,230924-230925,YS1492529,1492529,2019-051,Anime Supercar,Anime Supercar,Window Box,72,0,54.0,35.0,59.0,11.0,4.5,30.0,0.112,3.93,21.0,19.0,USD $35.40,35.4,35.4,35.4,,8.986,1038,72,0,"1492529, 2019-051, Window Box",PopCulture&LicensedToys/Anime Supercar/230924-230925/Anime Supercar/image/Anime Supercar.jpg,PopCulture&LicensedToys/Anime Supercar/230924-230925/Anime Supercar/Anime Supercar.md,1492529-2019-051-230924-230925-1038,2019-051,
PopCulture&LicensedToys,Anime Girl Yo-Yo,290103,YS1699976,1699976,600-105,Anime Girl Yo-Yo (12pcs whole box price),Anime Girl Yo-Yo (12pcs whole box price),Display Box,40,0,92.0,25.0,69.0,22.5,21.8,5.0,0.159,5.6,32.0,31.0,USD $61.10,61.1,61.1,61.1,,10.9,1576,40,0,"1699976, 600-105, Display Box",PopCulture&LicensedToys/Anime Girl Yo-Yo/290103/Anime Girl Yo-Yo (12pcs whole box price)/image/Anime Girl Yo-Yo (12pcs whole box price).jpg,PopCulture&LicensedToys/Anime Girl Yo-Yo/290103/Anime Girl Yo-Yo (12pcs whole box price)/Anime Girl Yo-Yo (12pcs whole box price).md,1699976-600-105-290103-1576,600-105,
PopCulture&LicensedToys,Anime Girl Yo-Yo,260112-260113,YS1542172,1542172,600-105,Anime Girl Yo-Yo (12pcs whole box price),Anime Girl Yo-Yo (12pcs whole box price),Display Box,40,0,92.0,25.0,69.0,22.5,21.8,5.0,0.159,5.6,32.0,31.0,USD $61.10,61.1,61.1,61.1,,10.9,1121,40,0,"1542172, 600-105, Display Box",PopCulture&LicensedToys/Anime Girl Yo-Yo/260112-260113/Anime Girl Yo-Yo (12pcs whole box price)/image/Anime Girl Yo-Yo (12pcs whole box price).jpg,PopCulture&LicensedToys/Anime Girl Yo-Yo/260112-260113/Anime Girl Yo-Yo (12pcs whole box price)/Anime Girl Yo-Yo (12pcs whole box price).md,1542172-600-105-260112-260113-1121,600-105,
PopCulture&LicensedToys,Avengers Electric Fire Water Gun,260605-260606,YS1761221,1761221,6355-6A,Avengers Electric Fire Water Gun,Avengers Electric Fire Water Gun,Sealed Box,30,0,74.0,50.0,66.0,48.5,7.0,21.0,0.244,8.62,24.5,22.5,USD $82.90,82.9,82.9,82.9,,9.61,2826,30,0,"1761221, 6355-6A, Sealed Box",PopCulture&LicensedToys/Avengers Electric Fire Water Gun/260605-260606/Avengers Electric Fire Water Gun/image/Avengers Electric Fire Water Gun.jpg,PopCulture&LicensedToys/Avengers Electric Fire Water Gun/260605-260606/Avengers Electric Fire Water Gun/Avengers Electric Fire Water Gun.md,1761221-6355-6A-260605-260606-2826,6355-6A,
PopCulture&LicensedToys,Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,170908B,YS1641954,1641954,4104,Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,Window Box,96,2,59.0,53.0,73.0,50.0,2.3,16.5,0.228,8.05,26.0,24.0,USD $75.90,75.9,75.9,75.9,,9.424,1390,96,2,"1641954, 4104, Window Box",PopCulture&LicensedToys/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/170908B/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/image/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag.jpg,PopCulture&LicensedToys/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/170908B/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/Avengers 24 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag.md,1641954-4104-170908B-1390,4104,
PopCulture&LicensedToys,Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,170908B,YS1641960,1641960,4204,Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Magnetic Legs Magnetic Cubes,Window Box,96,2,59.0,44.5,73.0,41.5,2.3,16.5,0.192,6.76,20.0,18.0,USD $62.80,62.8,62.8,62.8,,9.288,1396,96,2,"1641960, 4204, Window Box",PopCulture&LicensedToys/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/170908B/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/image/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag.jpg,PopCulture&LicensedToys/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/170908B/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag/Avengers 20 Magnetic Building Block Minifigures Dual-Purpose Window Box With Mag.md,1641960-4204-170908B-1396,4204,
PopCulture&LicensedToys,Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnetic Blocks And Free Weapons,170908B,YS1692517,1692517,71003,Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnetic Blocks And Free Weapons,Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnetic Blocks And Free Weapons,Window Box,144,2,68.0,45.0,73.0,32.0,2.3,16.5,0.223,7.88,24.0,22.0,USD $65.00,65.0,65.0,65.0,,8.244,1552,144,2,"1692517, 71003, Window Box",PopCulture&LicensedToys/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet/170908B/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet/image/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet.jpg,PopCulture&LicensedToys/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet/170908B/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet/Pokmon 16 Pokmon Magnetic Building Blocks Dual-Purpose Minifigures With 6 Magnet.md,1692517-71003-170908B-1552,71003,
PopCulture&LicensedToys,Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic Cubes,170908B,YS1692518,1692518,71004,Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic Cubes,Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic Cubes,Window Box,144,2,89.5,28.0,72.0,25.0,16.5,2.3,0.18,6.37,22.0,20.0,USD $51.90,51.9,51.9,51.9,,8.145,1553,144,2,"1692518, 71004, Window Box",PopCulture&LicensedToys/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C/170908B/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C/image/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C.jpg,PopCulture&LicensedToys/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C/170908B/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C/Pokmon 12 Pokmon Magnetic Building Blocks Dual-Purpose Figures With 4 Magnetic C.md,1692518-71004-170908B-1553,71004,
PopCulture&LicensedToys,Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magnetic Cubes And Free Weapons,170908B,YS1692519,1692519,71005,Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magnetic Cubes And Free Weapons,Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magnetic Cubes And Free Weapons,Window Box,192,2,59.0,38.0,73.0,17.5,2.3,16.5,0.164,5.78,26.0,24.0,USD $36.70,36.7,36.7,36.7,,6.336,1554,192,2,"1692519, 71005, Window Box",PopCulture&LicensedToys/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti/170908B/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti/image/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti.jpg,PopCulture&LicensedToys/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti/170908B/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti/Pokmon 4 Pokemon Magnetic Building Block Minifigure Dual-Purpose With 13 Magneti.md,1692519-71005-170908B-1554,71005,
